Frame,TotalDetected,TotalMatched,FrameTime_ms,DetectTime_ms,MatchTime_ms
289,939,933,690.344,408.301,18.261
290,939,939,736.307,433.510,18.024
291,911,14,703.110,419.812,17.886
292,911,902,670.826,391.651,16.437
293,921,24,752.671,424.702,20.649
294,921,914,698.887,412.507,20.903
295,921,920,729.608,419.793,22.276
296,941,15,719.159,413.810,16.748
297,941,934,657.164,382.130,17.408
298,952,7,673.900,394.325,17.588
299,952,951,660.553,382.708,17.922
300,960,10,670.024,380.456,18.122
301,960,960,666.259,388.764,18.057
302,960,960,658.587,379.986,18.131
303,974,11,658.819,380.357,18.550
304,974,972,672.207,389.397,18.463
305,984,13,671.220,390.141,19.262
306,984,982,727.713,415.579,22.811
307,984,984,730.964,420.748,21.652
308,973,14,697.335,403.669,20.415
309,974,972,699.427,402.982,23.693
310,998,12,789.667,462.682,23.706
311,998,993,826.894,466.219,25.161
312,989,22,813.634,526.404,20.131
313,989,986,693.495,408.783,19.474
314,989,989,810.499,506.252,19.280
315,998,8,708.431,417.508,19.739
316,998,989,697.955,411.738,24.511
317,981,7,706.881,411.972,26.741
318,981,979,680.819,396.573,20.023
319,981,981,687.262,403.530,19.971
320,962,18,693.711,407.505,20.306
321,962,961,699.837,418.888,18.314
322,973,19,686.820,397.836,19.419
323,973,970,682.481,405.312,18.891
324,980,10,689.460,405.486,19.157
325,980,979,682.356,394.062,18.899
326,980,980,681.493,400.297,21.202
327,983,15,691.049,394.210,18.846
328,982,971,729.157,411.407,25.849
329,986,7,694.118,399.849,18.692
330,980,493,668.846,384.862,21.528
331,980,980,677.973,391.462,23.294
332,978,11,670.403,388.924,19.025
333,978,975,670.494,389.106,22.843
334,1000,13,669.025,379.101,18.966
335,1000,966,686.129,398.935,23.062
336,1000,19,673.123,385.706,20.575
337,1000,980,661.950,383.556,20.554
338,1000,1000,681.639,395.132,19.997
339,1000,11,683.780,396.577,19.640
340,1000,984,664.155,387.144,20.168
341,1000,18,681.805,397.973,19.779
342,1000,977,663.440,388.555,20.088
343,1000,1000,677.162,396.765,21.610
344,1000,8,663.386,380.132,19.511
345,1000,986,663.862,388.560,19.983
346,1000,18,662.816,378.433,19.221
347,1000,996,662.490,382.484,19.248
348,1000,18,681.526,394.221,22.056
349,1000,989,664.843,383.501,19.855
350,1000,1000,667.291,393.227,20.771
351,1000,9,669.497,390.211,19.815
352,1000,988,654.390,378.759,19.581
353,1000,11,672.285,380.243,24.346
354,1000,999,654.812,380.211,19.489
355,1000,1000,676.185,395.051,21.828
356,1000,15,679.059,387.814,20.195
357,1000,967,665.102,378.694,19.646
358,1000,9,669.124,385.606,19.965
359,1000,1000,660.613,381.459,19.352
360,1000,18,664.850,379.059,19.444
361,1000,999,664.482,383.579,20.148
362,1000,1000,666.697,377.728,22.645
363,1000,10,661.792,376.585,20.715
364,1000,998,686.563,403.490,19.419
365,1000,18,718.783,416.870,29.700
366,1000,985,786.511,459.913,24.707
367,1000,1000,683.668,392.728,22.943
368,1000,14,701.192,396.108,22.285
369,1000,995,704.611,414.053,21.969
370,1000,24,703.741,402.135,22.844
371,1000,996,692.427,399.378,23.526
372,1000,20,677.917,393.369,20.621
373,1000,999,693.927,408.887,19.947
374,1000,1000,676.090,386.061,21.126
375,1000,8,654.349,370.874,20.965
376,1000,987,682.530,399.358,20.101
377,1000,25,881.233,502.935,30.209
378,1000,998,1005.230,660.635,22.692
379,1000,998,715.358,424.857,19.284
380,1000,26,682.043,381.187,21.333
381,1000,977,681.524,395.531,21.341
382,1000,15,674.088,383.539,20.495
383,1000,1000,673.181,385.652,22.069
384,1000,19,696.514,408.374,20.995
385,1000,997,678.199,388.673,21.062
386,1000,999,667.321,379.792,22.233
387,1000,15,668.429,383.241,21.690
388,1000,995,671.879,391.125,19.777
389,1000,19,679.260,393.284,19.747
390,1000,452,707.534,415.133,20.756
391,1000,1000,718.469,440.350,19.713
392,1000,36,677.582,382.129,24.181
393,1000,997,657.079,376.948,19.368
394,1000,25,664.125,382.250,19.494
395,1000,989,668.537,391.149,19.345
396,1000,8,668.712,379.822,20.209
397,1000,966,667.858,388.348,19.485
398,1000,1000,663.672,386.530,20.060
399,1000,11,676.594,394.836,19.557
400,1000,964,673.552,393.036,20.566
401,1000,13,670.851,384.948,20.009
402,1000,995,690.276,411.799,20.954
403,1000,1000,689.211,400.233,21.114
404,1000,25,694.218,401.123,20.342
405,1000,993,672.260,392.666,20.936
406,1000,15,683.393,395.399,20.029
407,1000,1000,657.718,384.831,19.556
408,1000,17,669.902,389.034,19.830
409,1000,1000,669.627,387.930,19.356
410,1000,1000,660.110,382.128,19.821
411,1000,38,700.846,394.090,20.421
412,1000,984,662.128,386.307,19.517
413,1000,17,678.346,389.713,19.500
414,1000,998,671.031,380.881,20.147
415,1000,1000,686.654,407.572,22.678
416,1000,13,691.658,401.679,20.038
417,1000,989,661.861,383.680,24.420
418,1000,24,689.577,406.915,22.055
419,1000,1000,670.455,394.309,19.047
420,1000,15,672.608,387.280,19.483
421,1000,1000,681.142,391.692,25.810
422,1000,1000,667.859,386.322,19.600
423,1000,12,698.637,409.949,20.617
424,1000,1000,679.112,406.357,19.608
425,1000,22,686.860,398.022,19.678
426,1000,997,674.711,395.094,19.380
427,1000,1000,670.428,391.642,19.437
428,1000,17,671.501,393.054,19.851
429,1000,1000,699.436,423.358,19.710
430,1000,23,688.498,395.558,19.553
431,1000,999,667.221,389.632,21.765
432,1000,26,694.414,394.076,20.428
433,1000,1000,671.060,392.369,20.746
434,1000,1000,679.393,396.760,19.903
435,1000,16,669.267,384.905,20.212
436,1000,997,689.928,411.489,20.292
437,1000,10,680.614,396.216,19.656
438,1000,998,662.337,384.674,20.007
439,1000,1000,679.331,403.042,19.532
440,1000,19,677.223,393.182,19.235
441,1000,991,678.275,397.601,23.307
