Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
135,220,250,250,250,2,5,6,8,194.328,171.639,172.234,178.521
136,220,250,250,250,220,250,250,250,163.752,176.802,180.406,181.969
137,197,250,250,250,1,3,5,11,161.95,174.753,180.043,178.644
138,197,250,250,250,196,250,250,250,155.771,172.673,170.25,173.176
139,197,250,250,250,197,250,250,250,152.835,181.152,170.376,172.816
140,187,250,250,250,3,8,7,7,154.285,174.529,176.483,174.443
141,187,250,250,250,186,250,250,250,154.258,175.276,175.847,171.999
142,191,250,250,250,6,8,10,7,176.206,193.913,173.949,180.911
143,191,250,250,250,190,250,250,250,158.676,177.138,184.529,176.024
144,179,250,250,250,1,5,4,2,158.593,182.253,181.737,181.257
145,179,250,250,250,179,250,250,250,154.256,176.93,178.444,177.973
146,179,250,250,250,179,250,250,250,153.214,172.355,177.164,173.022
147,170,250,250,250,1,4,9,10,148.26,175.626,177.798,177.878
148,170,250,250,250,169,250,250,250,151.524,174.192,181.905,187.181
149,160,250,250,250,1,6,13,6,142,186.281,181.91,174.807
150,153,250,250,250,59,140,151,176,144.575,177.104,185.603,173.444
151,153,250,250,250,153,250,250,250,148.817,175.292,178.161,179.093
152,168,250,250,250,2,1,12,9,148.334,178.483,176.402,174.979
153,168,250,250,250,168,250,250,250,150.729,173.501,169.171,173.513
154,149,250,250,250,0,6,3,9,144.599,177.81,177.498,179.718
155,148,250,250,250,147,248,246,249,140.467,173.813,174.124,180.4
156,163,250,250,250,2,5,2,3,146.15,171.719,178.142,191.34
157,163,250,250,250,162,250,249,249,146.23,173.36,180.157,171.442
158,163,250,250,250,163,250,250,250,150.197,178.306,175.601,177.278
159,161,250,250,250,2,8,7,7,152.321,181.992,186.069,185.537
160,160,250,250,250,159,250,249,248,149.98,178,173.477,175.505
161,157,250,250,250,5,11,6,4,146.115,178.715,173.994,183.737
162,156,250,250,250,156,250,250,249,147.04,178.705,179.307,178.416
163,156,250,250,250,155,249,249,250,145.781,178.544,179.467,178.712
164,150,250,250,250,1,6,3,6,144.977,183.387,182.886,179.845
165,150,250,250,250,150,250,250,250,151.831,176.99,174.598,176.045
166,151,250,250,250,1,14,3,8,146.704,179.98,176.883,179.244
167,151,250,250,250,149,249,250,250,144.601,174.801,172.03,174.603
168,150,250,250,250,2,14,8,7,148.63,182.04,180.154,184.671
169,150,250,250,250,150,250,250,250,144.757,175.919,178.023,177.534
170,150,250,250,250,150,250,249,250,145.82,178.523,180.543,180.282
171,139,250,250,250,2,8,7,2,144.748,180.428,186.764,181.966
172,139,250,250,250,138,250,250,247,140.552,182.741,180.936,176.305
173,146,250,250,250,4,13,7,6,148.742,180.211,179.128,176.739
174,146,250,250,250,146,250,250,250,146.52,182.112,179.321,179.237
175,146,250,250,250,146,250,249,250,141.859,177.591,177.63,179.308
176,158,250,250,250,2,7,8,3,160.373,180.666,175.57,178.562
177,158,250,250,250,158,248,249,250,142.851,179.107,177.919,182.127
178,139,250,250,250,2,4,2,3,144.916,179.863,186.288,181.912
179,139,250,250,250,139,250,249,250,139.943,175.321,176.403,180.912
180,161,250,250,250,2,3,2,5,150.006,176.213,176.18,177.433
181,161,250,250,250,161,250,250,250,147.863,177.573,175.265,174.325
182,161,250,250,250,161,250,250,250,148.539,182.245,178.343,182.322
183,134,250,250,250,3,2,2,9,144.649,179.022,175.651,177.542
184,134,250,250,250,134,250,246,248,137.274,175.613,175.683,175.634
185,138,250,250,250,0,3,4,8,146.778,184.065,178.461,173.943
186,138,250,250,250,132,250,247,250,138.34,177.556,175.011,177.754
187,138,250,250,250,138,250,250,250,134.627,171.497,172.542,174.045
188,136,250,250,250,4,2,4,2,143.463,183.732,178.571,176.866
189,136,250,250,250,136,249,250,250,136.273,177.875,170.629,174.175
190,140,250,250,250,0,2,2,5,142.57,183.997,178.254,177.099
191,140,250,250,250,136,250,250,249,140.723,171.828,174.532,174.247
192,126,250,250,250,1,9,2,4,132.816,174.442,173.951,200.086
193,126,250,250,250,125,250,249,250,136.234,178.753,178.688,184.462
194,126,250,250,250,126,250,250,250,134.268,173.867,174.382,178.352
195,139,250,250,250,2,3,2,8,139.656,173.648,182.514,174.443
196,139,250,250,250,137,250,250,249,137.784,176.312,172.046,177.127
197,155,250,250,250,3,10,4,6,145.621,177.045,171.731,175.344
198,155,250,250,250,154,250,250,250,145.064,181.89,173.447,173.058
199,155,250,250,250,155,250,250,250,144.185,174.921,180.507,175.164
200,118,250,250,250,0,1,0,0,134.862,178.212,173.633,178.362
201,119,250,250,250,118,249,249,249,140.429,175.856,174.672,192.505
202,151,250,250,250,1,1,10,1,144.303,177.996,177.33,186.827
203,151,250,250,250,151,249,250,250,146.897,180.061,174.042,176.617
204,152,250,250,250,2,6,1,1,143.804,177.068,172.4,176.084
205,152,250,250,250,151,244,249,249,143.79,185.946,178.274,173.585
